,rouge1,rouge2,rougeL,f1,sas,bertscore
58,0.44,0.14,0.25,0.16,0.6614273,0.95
59,0.39,0.07,0.19,0.16,0.5848133,0.97
60,0.27,0.03,0.14,0.19,0.46209845,0.97
61,0.19,0.0,0.13,0.12,0.49517363,0.95
62,0.29,0.1,0.14,0.17,0.45136958,0.97
63,0.47,0.26,0.24,0.35,0.74850994,0.97
64,0.44,0.17,0.32,0.24,0.6724458,0.96
65,0.52,0.25,0.21,0.26,0.5920686,0.98
66,0.33,0.03,0.19,0.15,0.4840245,0.98
67,0.22,0.06,0.15,0.11,0.4666027,0.94
68,0.19,0.04,0.12,0.13,0.46675175,0.89
69,0.44,0.08,0.23,0.21,0.61412346,0.98
70,0.32,0.21,0.26,0.26,0.5474884,0.89
71,0.36,0.07,0.19,0.2,0.56617326,0.95
72,0.33,0.06,0.2,0.22,0.6144926,0.96
73,0.34,0.05,0.2,0.24,0.64036995,0.96
74,0.24,0.03,0.14,0.12,0.5777738,0.94
75,0.11,0.07,0.11,0.09,0.4433424,0.9
76,0.36,0.08,0.2,0.13,0.63644415,0.97
77,0.4,0.15,0.24,0.24,0.6130692,0.97
78,0.17,0.06,0.14,0.1,0.6684957,0.91
79,0.2,0.04,0.12,0.15,0.4779218,0.92
80,0.36,0.07,0.24,0.13,0.55703306,0.98
81,0.41,0.15,0.2,0.25,0.6756851,0.97
82,0.55,0.39,0.5,0.39,0.7150816,0.98
83,0.25,0.06,0.12,0.13,0.44933286,0.95
84,0.23,0.04,0.1,0.13,0.24146317,0.96
85,0.2,0.04,0.12,0.13,0.53904694,0.93
86,0.24,0.05,0.16,0.1,0.5626877,0.95
87,0.46,0.14,0.26,0.2,0.5956258,0.98
88,0.55,0.41,0.52,0.42,0.7402835,0.98
89,0.41,0.23,0.29,0.19,0.5703888,0.95
90,0.68,0.51,0.5,0.39,0.7665192,0.99
91,0.6,0.42,0.47,0.31,0.77153164,0.95
92,0.37,0.09,0.17,0.22,0.56033415,0.97
93,0.41,0.08,0.23,0.21,0.40603098,0.98
94,0.19,0.05,0.13,0.09,0.54811954,0.89
95,0.35,0.13,0.19,0.19,0.5756025,0.98
96,0.1,0.03,0.09,0.07,0.6418844,0.89
97,0.16,0.0,0.09,0.08,0.49535015,0.94
98,0.4,0.09,0.23,0.2,0.6753215,0.96
99,0.37,0.07,0.23,0.16,0.6744353,0.95
100,0.42,0.17,0.29,0.2,0.627468,0.97
101,0.34,0.09,0.16,0.15,0.57581216,0.97
102,0.5,0.33,0.37,0.28,0.69746184,0.93
103,0.32,0.07,0.15,0.17,0.6021835,0.97
104,0.45,0.12,0.22,0.22,0.58690506,0.97
105,0.33,0.06,0.2,0.13,0.59190565,0.97
106,0.35,0.08,0.19,0.22,0.48205516,0.97
107,0.62,0.4,0.52,0.39,0.58889884,0.98
108,0.3,0.1,0.15,0.13,0.46192577,0.97
109,0.23,0.08,0.14,0.12,0.5263236,0.93
110,0.34,0.05,0.19,0.16,0.55630255,0.94
111,0.37,0.09,0.18,0.16,0.6070238,0.97
112,0.23,0.04,0.14,0.17,0.5034739,0.94
113,0.3,0.15,0.29,0.25,0.5658098,0.94
114,0.32,0.11,0.19,0.14,0.7451814,0.97
115,0.48,0.3,0.38,0.36,0.61036664,0.98
116,0.6,0.42,0.37,0.32,0.6023766,0.99
117,0.33,0.07,0.18,0.19,0.62781847,0.97
118,0.28,0.09,0.2,0.14,0.6333485,0.93
119,0.41,0.07,0.22,0.22,0.35175115,0.97
120,0.35,0.12,0.18,0.13,0.5766162,0.98
121,0.31,0.14,0.22,0.23,0.6620439,0.95
122,0.44,0.13,0.31,0.2,0.7010002,0.96
123,0.4,0.09,0.19,0.19,0.5669319,0.97
124,0.3,0.23,0.26,0.23,0.70202583,0.95
125,0.5,0.23,0.37,0.32,0.7342916,0.98
126,0.29,0.01,0.16,0.13,0.3720484,0.96
127,0.35,0.11,0.23,0.16,0.540522,0.98
128,0.26,0.11,0.23,0.17,0.6478471,0.95
129,0.36,0.11,0.21,0.16,0.62591815,0.97
130,0.27,0.04,0.13,0.11,0.59265834,0.95
131,0.2,0.03,0.14,0.1,0.5846716,0.94
132,0.26,0.08,0.16,0.12,0.56566805,0.92
133,0.25,0.06,0.17,0.12,0.6578403,0.95
134,0.41,0.08,0.21,0.17,0.64888334,0.96
135,0.27,0.07,0.15,0.12,0.50125545,0.95
136,0.42,0.3,0.33,0.21,0.6843501,0.98
137,0.11,0.04,0.09,0.09,0.75261056,0.83
138,0.43,0.11,0.25,0.15,0.5767714,0.97
139,0.24,0.06,0.16,0.15,0.6415556,0.96
140,0.29,0.04,0.15,0.12,0.46481997,0.96
141,0.31,0.05,0.19,0.22,0.63286394,0.94
142,0.4,0.09,0.21,0.16,0.533569,0.94
143,0.2,0.03,0.13,0.18,0.46684816,0.92
144,0.43,0.09,0.2,0.19,0.63372743,0.98
145,0.46,0.38,0.44,0.34,0.7212978,0.95
146,0.45,0.21,0.29,0.26,0.7937436,0.98
147,0.32,0.08,0.19,0.14,0.63005537,0.94
148,0.38,0.08,0.2,0.19,0.53081936,0.96
